Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,3.112888516894222400e-05,1.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,9.988416931170723823e-03,1.255370004369053480e-02,6.227878010465761835e-05,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.005026686577177066e-02,9.917803995733909250e-02,9.359748580490797124e-05,1.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,1.037073080896642324e-02,2.598807721099445356e-01,1.255836254557154248e-04,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.113951757246272635e-02,4.772269400804665107e-01,1.590356360414906596e-04,1.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,1.246262510410682013e-02,7.148768705257525502e-01,1.949618398131193345e-04,1.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000118e-02,1.439095360188901059e-02,9.706212233791828847e-01,2.345203498019296615e-04,1.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,1.696564083339689721e-02,1.233561276660058326e+00,2.788572788628391553e-04,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,2.020023716856505017e-02,1.501009424872470133e+00,3.291666383560731737e-04,1.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,2.410601312725557319e-02,1.772966175609502315e+00,3.866989606170467809e-04,1.000000000000000000e+00,0.000000000000000000e+00
2.499999999999999792e-02,2.869424049787859185e-02,2.049432030081420830e+00,4.527596038600589139e-04,1.000000000000000000e+00,5.757398227683256496e-05
2.749999999999999667e-02,3.397619232827296665e-02,2.330407497133698325e+00,5.287175548934217387e-04,1.000000000000000000e+00,1.249399556045290916e-04
2.999999999999999542e-02,3.996386431919358301e-02,2.613102639777048708e+00,6.157807067936103091e-04,1.000000000000000000e+00,2.035547182000152164e-04
3.249999999999999417e-02,4.665585810100417175e-02,2.891702309990095365e+00,7.149952768280994596e-04,1.000000000000000000e+00,2.950412916703775844e-04
3.499999999999999639e-02,5.404193426101370351e-02,3.166044498094505499e+00,8.273469153830579443e-04,1.000000000000000000e+00,4.011720094720411397e-04
3.749999999999999861e-02,6.211144838146405445e-02,3.436127939483675231e+00,9.537668417094454041e-04,1.000000000000000000e+00,5.238586229138804005e-04
4.000000000000000083e-02,7.085375290623437128e-02,3.701951411855781249e+00,1.095132670727886389e-03,1.000000000000000000e+00,6.651445311694513052e-04
4.250000000000000305e-02,8.025819724347400819e-02,3.963513729195802249e+00,1.252269241367657930e-03,1.000000000000000000e+00,8.271971303511180306e-04
4.500000000000000527e-02,9.031412785332357251e-02,4.220813736961539497e+00,1.425949460140279752e-03,1.000000000000000000e+00,1.012300280835943525e-03
4.750000000000000749e-02,1.010108883247043121e-01,4.473850307267343673e+00,1.616895122051255091e-03,1.000000000000000000e+00,1.222846895554397656e-03
5.000000000000000971e-02,1.123378194394232948e-01,4.722622335530531679e+00,1.825777745210350241e-03,1.000000000000000000e+00,1.461331645960515071e-03
5.250000000000001193e-02,1.242842592290920867e-01,4.967214364596144627e+00,2.053251036599682347e-03,1.000000000000000000e+00,1.730343023911423911e-03
5.500000000000001416e-02,1.368404333179556731e-01,5.210723691229084409e+00,2.300218820124309751e-03,1.000000000000000000e+00,2.032576530887899528e-03
5.750000000000001638e-02,1.500056099714088542e-01,5.454636901228274937e+00,2.567639193247516546e-03,1.000000000000000000e+00,2.370855734146441827e-03
6.000000000000001860e-02,1.637807988429512973e-01,5.698953896975772260e+00,2.856474994380604239e-03,1.000000000000000000e+00,2.748141595364156798e-03
6.250000000000001388e-02,1.781670093444639447e-01,5.943674585161823565e+00,3.167693770001713070e-03,1.000000000000000000e+00,3.167533144008320613e-03
6.500000000000001610e-02,1.931652506564650873e-01,6.188798876069542487e+00,3.502267716426960605e-03,1.000000000000000000e+00,3.632268151507092591e-03
6.750000000000001832e-02,2.087765317369465745e-01,6.434326683157977733e+00,3.861173675510435211e-03,1.000000000000000000e+00,4.145723797305486853e-03
7.000000000000002054e-02,2.250018613277078305e-01,6.680257926195592333e+00,4.245393131227400557e-03,1.000000000000000000e+00,4.711417334230317763e-03
7.250000000000002276e-02,2.418422479996626961e-01,6.926592569817043632e+00,4.655912219628061295e-03,1.000000000000000000e+00,5.333006753682810984e-03
7.500000000000002498e-02,2.592987002649957406e-01,7.173330613944792766e+00,5.093721738237135324e-03,1.000000000000000000e+00,6.014291452288388767e-03
7.750000000000002720e-02,2.773722266219929011e-01,7.420472052693250831e+00,5.559817153040767443e-03,1.000000000000000000e+00,6.759212899888048312e-03
8.000000000000002942e-02,2.960638355480249562e-01,7.668016872010761098e+00,6.055198606931763879e-03,1.000000000000000000e+00,7.571855308535892747e-03
8.250000000000003164e-02,3.153745354798489497e-01,7.915965047924431452e+00,6.580870924780856009e-03,1.000000000000000000e+00,8.456446302537086804e-03
8.500000000000003386e-02,3.353053347895134095e-01,8.164316547756980569e+00,7.137843620648618922e-03,1.000000000000000000e+00,9.417357589376847138e-03
8.750000000000003608e-02,3.558572417629086160e-01,8.413071330920521618e+00,7.727130901308433726e-03,1.000000000000000000e+00,1.045910563149045520e-02
8.999999999999999667e-02,3.770312645806556673e-01,8.662229349916547250e+00,8.349753644048468759e-03,1.000000000000000000e+00,1.158635174965575929e-02
9.249999999999999889e-02,3.988284371716368515e-01,8.912204584907401639e+00,9.006818879784331960e-03,1.000000000000000000e+00,1.280390809186263135e-02
9.500000000000000111e-02,4.212512467820832551e-01,9.163411115173726529e+00,9.699478543538404482e-03,1.000000000000000000e+00,1.411674572530477630e-02
9.750000000000000333e-02,4.443027717023406153e-01,9.415849033780059330e+00,1.042889907046169046e-02,1.000000000000000000e+00,1.553000119199897562e-02
1.000000000000000056e-01,4.679860904520108944e-01,9.669518427723655662e+00,1.119626146738307744e-02,1.000000000000000000e+00,1.704897858805519764e-02
1.025000000000000078e-01,4.923042817649690428e-01,9.924419378268797942e+00,1.200276137734347486e-02,1.000000000000000000e+00,1.867915165331685348e-02
1.050000000000000100e-01,5.172604245751935004e-01,1.018055196124089612e+01,1.284960917178969327e-02,1.000000000000000000e+00,2.042616587134117243e-02
1.075000000000000122e-01,5.428575980033123471e-01,1.043791624728597967e+01,1.373803000188351942e-02,1.000000000000000000e+00,2.229584057940943789e-02
1.100000000000000006e-01,5.690988813437820593e-01,1.069651230210019399e+01,1.466925918938419456e-02,1.000000000000000000e+00,2.429417256767702621e-02
1.125000000000000028e-01,5.959872994538338853e-01,1.095546639710532943e+01,1.564433600848356629e-02,1.000000000000000000e+00,2.642732453792226432e-02
1.150000000000000050e-01,6.235228099326095563e-01,1.121390458685740832e+01,1.666421328850617098e-02,1.000000000000000000e+00,2.870160816562277589e-02
1.175000000000000072e-01,6.517041228650800599e-01,1.147182660401177756e+01,1.772983759704856166e-02,1.000000000000000000e+00,3.112347140591761874e-02
1.200000000000000094e-01,6.805299476674663284e-01,1.172923218049851357e+01,1.884214922038975407e-02,1.000000000000000000e+00,3.369949759833328756e-02
1.225000000000000117e-01,7.099989929463076388e-01,1.198612078302378059e+01,2.000208221678321727e-02,1.000000000000000000e+00,3.643640456845957665e-02
1.250000000000000000e-01,7.401099658723934160e-01,1.224249182962011062e+01,2.121056430381921057e-02,1.000000000000000000e+00,3.934104372900085883e-02
1.275000000000000022e-01,7.708615724274445746e-01,1.249834502022529747e+01,2.246851700777411850e-02,1.000000000000000000e+00,4.242039918180419422e-02
1.300000000000000044e-01,8.022525178031773008e-01,1.275368004352641371e+01,2.377684485954622770e-02,1.000000000000000000e+00,4.568158649007326294e-02
1.325000000000000067e-01,8.342813698378713783e-01,1.300873480204798227e+01,2.513656865636071727e-02,1.000000000000000000e+00,4.913185381522656991e-02
1.350000000000000089e-01,8.669481884367544744e-01,1.326447499540418029e+01,2.654885496892054816e-02,1.000000000000000000e+00,5.277860306253702449e-02
1.375000000000000111e-01,9.002548073293621389e-01,1.352100763591878518e+01,2.801489151853452098e-02,1.000000000000000000e+00,5.662940196369824902e-02
1.400000000000000133e-01,9.342032075965657212e-01,1.377833265891206871e+01,2.953587560873539852e-02,1.000000000000000000e+00,6.069198869965938131e-02
1.425000000000000155e-01,9.687953701559446351e-01,1.403644999689046635e+01,3.111301406850303097e-02,1.000000000000000000e+00,6.497427326462511255e-02
1.450000000000000178e-01,1.004033275754774523e+00,1.429535957958755965e+01,3.274752324920596896e-02,1.000000000000000000e+00,6.948433883408673684e-02
1.475000000000000200e-01,1.039918904963116120e+00,1.455506133400066382e+01,3.444062924889797900e-02,1.000000000000000000e+00,7.423044313757401480e-02
1.500000000000000222e-01,1.076454238166992150e+00,1.481555518442379693e+01,3.619356753245707436e-02,1.000000000000000000e+00,7.922101983323331931e-02
1.525000000000000244e-01,1.113641255561646615e+00,1.507684105247752981e+01,3.800758346179705649e-02,-2.978640834962693884e-02,8.446467988998332399e-02
1.550000000000000266e-01,1.151481937144875012e+00,1.533891885713494219e+01,3.795169067879913122e-02,-2.978640834962693884e-02,8.990704077764211100e-02
1.575000000000000289e-01,1.189978262710418733e+00,1.560178851474466022e+01,3.789390346154503791e-02,-2.978640834962693884e-02,9.534133426147707591e-02
1.600000000000000311e-01,1.229132211841415634e+00,1.586544993905145517e+01,3.783418381618940118e-02,-2.978640834962693884e-02,1.007672878009557432e-01
1.625000000000000333e-01,1.268945763903899682e+00,1.612990304121398211e+01,3.777249354816022975e-02,-2.978640834962693884e-02,1.061846234137951706e-01
1.650000000000000355e-01,1.309420898040345893e+00,1.639514772982131419e+01,3.770879404133446744e-02,-2.978640834962693884e-02,1.115930576339030089e-01
1.675000000000000377e-01,1.350559593163252803e+00,1.666118391090605755e+01,3.764304638518998353e-02,-2.978640834962693884e-02,1.169923014699649072e-01
1.700000000000000400e-01,1.392363827948758015e+00,1.692801148795560806e+01,3.757521162832233586e-02,-2.978640834962693884e-02,1.223820603655588757e-01
1.725000000000000422e-01,1.434835580830281287e+00,1.719563036192188576e+01,3.750525020978608820e-02,-2.978640834962693884e-02,1.277620341552695993e-01
1.750000000000000444e-01,1.477976829992188490e+00,1.746404043122857885e+01,3.743312227190291608e-02,-2.978640834962693884e-02,1.331319170243437100e-01
1.775000000000000466e-01,1.521789553363475100e+00,1.773321673151277622e+01,3.735878893506962978e-02,-2.978640834962693884e-02,1.384913974452546548e-01
1.800000000000000488e-01,1.566275470129272263e+00,1.800225960565398609e+01,3.728221962867837858e-02,-2.978640834962693884e-02,1.438401587271286863e-01
1.825000000000000511e-01,1.611433673109766707e+00,1.827073707786505352e+01,3.720338519813480571e-02,-2.978640834962693884e-02,1.491778797597375361e-01
1.850000000000000533e-01,1.657262748610569547e+00,1.853864881405165477e+01,3.712225722339316386e-02,-2.978640834962693884e-02,1.545042353311593120e-01
1.875000000000000555e-01,1.703761282102717711e+00,1.880599448127886930e+01,3.703880793803102783e-02,-2.978640834962693884e-02,1.598188961579406764e-01
1.900000000000000577e-01,1.750927858225580058e+00,1.907277374778693257e+01,3.695300889452678150e-02,-2.978640834962693884e-02,1.651215289116452489e-01
1.925000000000000600e-01,1.798761060789803690e+00,1.933898628300287470e+01,3.686483151137595615e-02,-2.978640834962693884e-02,1.704117962520714791e-01
1.950000000000000622e-01,1.847259472780286460e+00,1.960463175755224086e+01,3.677424881693970582e-02,-2.978640834962693884e-02,1.756893568628086211e-01
1.975000000000000644e-01,1.896421676359178576e+00,1.986970984326752898e+01,3.668123284815433954e-02,-2.978640834962693884e-02,1.809538654783619249e-01
2.000000000000000666e-01,1.946246252868904181e+00,2.013422021319577127e+01,3.658575758015938234e-02,-2.978640834962693884e-02,1.862049729158461453e-01
2.025000000000000688e-01,1.996731782835200475e+00,2.039818384217105418e+01,3.648779354186293400e-02,-2.978640834962693884e-02,1.914423261209907412e-01
2.050000000000000711e-01,2.047877067440976973e+00,2.066237115075682595e+01,3.638730517004240550e-02,-2.978640834962693884e-02,1.966655676248500462e-01
2.075000000000000733e-01,2.099683157122263832e+00,2.092715183729881900e+01,3.628425393468955040e-02,-2.978640834962693884e-02,2.018743348007469851e-01
2.100000000000000755e-01,2.152151535244615665e+00,2.119252576233785135e+01,3.617860114181935954e-02,-6.088611805198063109e-02,2.070682595544920401e-01
2.125000000000000777e-01,2.205283684823864832e+00,2.145849278451890640e+01,3.595724383725402984e-02,-6.088611805198063109e-02,2.122432766953173400e-01
2.150000000000000799e-01,2.259081088521377900e+00,2.172505276058307544e+01,3.573041109021542899e-02,-6.088611805198063109e-02,2.173864121531443871e-01
2.175000000000000822e-01,2.313545228639291906e+00,2.199220554535724048e+01,3.549802342623165768e-02,-6.088611805198063109e-02,2.224968793093091701e-01
2.200000000000000844e-01,2.368677587115719074e+00,2.225995099174183522e+01,3.526000031889694325e-02,-6.088611805198063109e-02,2.275738800979983933e-01
2.225000000000000866e-01,2.424479645519928006e+00,2.252828895070177850e+01,3.501626009510423743e-02,-6.088611805198063109e-02,2.326166049400674452e-01
2.250000000000000888e-01,2.480952885047496448e+00,2.279721927125513048e+01,3.476672227273505666e-02,-6.088611805198063109e-02,2.376242326870814381e-01
2.275000000000000910e-01,2.538098786515437411e+00,2.306674180045644462e+01,3.451130334134554223e-02,-6.088611805198063109e-02,2.425959305513309960e-01
2.300000000000000100e-01,2.595918830357278662e+00,2.333685638338388202e+01,3.424992447993327471e-02,-6.088611805198063109e-02,2.475308539650518946e-01
2.325000000000000122e-01,2.654414472605076014e+00,2.360717860437476290e+01,3.398251343385708112e-02,-6.088611805198063109e-02,2.524281472848054486e-01
