Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
9.042500000000361027e+00,5.569787554726282224e+02,1.608389669390317778e+01,-3.098904921309804470e-03,-2.449999999999336320e-01,2.791061378275292437e+00
9.045000000000360529e+00,5.570189510790437453e+02,1.605899733489738423e+01,-3.593497642216660244e-03,-2.449999999999336320e-01,2.790688278326394212e+00
9.047500000000360032e+00,5.570590844379145210e+02,1.603409947832219373e+01,-4.086610737111799618e-03,-2.449999999999336320e-01,2.790241072856781912e+00
9.050000000000359535e+00,5.570991555529953985e+02,1.600920312218844899e+01,-4.578211232784197733e-03,-2.449999999999336320e-01,2.789719964234888216e+00
9.052500000000359037e+00,5.571391644280364517e+02,1.598430826450951159e+01,-5.068395238018121550e-03,-2.449999999999336320e-01,2.789125154064743040e+00
9.055000000000358540e+00,5.571791110667826388e+02,1.595941490330109502e+01,-5.557124405875826963e-03,-2.449999999999336320e-01,2.788456843971121479e+00
9.057500000000358042e+00,5.572189954729740293e+02,1.593452303658130376e+01,-6.044454115924969596e-03,-2.449999999999336320e-01,2.787715235181446705e+00
9.060000000000357545e+00,5.572588176503456907e+02,1.590963266237027618e+01,-6.530348245826936987e-03,-2.449999999999336320e-01,2.786900528248791087e+00
9.062500000000357048e+00,5.572985776026278018e+02,1.588474377869050080e+01,-7.014813561288983125e-03,-2.449999999999336320e-01,2.786012923531559604e+00
9.065000000000356550e+00,5.573382753335456528e+02,1.585985638356697613e+01,-7.497859465233732562e-03,-2.449999999999336320e-01,2.785052620994890926e+00
9.067500000000356053e+00,5.573779108468194181e+02,1.583497047502716448e+01,-7.979451304696710823e-03,-2.449999999999336320e-01,2.784019820349682650e+00
9.070000000000355556e+00,5.574174841461643837e+02,1.581008605110075038e+01,-8.459656539538819298e-03,-2.449999999999336320e-01,2.782914720693169919e+00
9.072500000000355058e+00,5.574569952352910605e+02,1.578520310981982711e+01,-8.938396427896618673e-03,-2.449999999999336320e-01,2.781737521304818994e+00
9.075000000000354561e+00,5.574964441179049572e+02,1.576032164921861600e+01,-9.415741394412336165e-03,-2.449999999999336320e-01,2.780488420679387396e+00
9.077500000000354063e+00,5.575358307977065806e+02,1.573544166733302596e+01,-9.891672647504262672e-03,-2.449999999999336320e-01,2.779167616601944335e+00
9.080000000000353566e+00,5.575751552783916623e+02,1.571056316220187377e+01,-1.036615392697716985e-02,-2.449999999999336320e-01,2.777775306834066704e+00
9.082500000000353069e+00,5.576144175636509317e+02,1.568568613186689475e+01,-1.083921379318171854e-02,-2.449999999999336320e-01,2.776311688697895352e+00
9.085000000000352571e+00,5.576536176571703436e+02,1.566081057437226676e+01,-1.131085133702230093e-02,-2.449999999999336320e-01,2.774776959236331830e+00
9.087500000000352074e+00,5.576927555626308504e+02,1.563593648776461187e+01,-1.178102520274701068e-02,-2.449999999999336320e-01,2.773171315305764661e+00
9.090000000000351577e+00,5.577318312837085159e+02,1.561106387009265539e+01,-1.224987166260965189e-02,-2.449999999999336320e-01,2.771494953133618377e+00
9.092500000000351079e+00,5.577708448240746293e+02,1.558619271940721696e+01,-1.271727357191360964e-02,-2.449999999999336320e-01,2.769748068565278665e+00
9.095000000000350582e+00,5.578097961873954773e+02,1.556132303376177539e+01,-1.318327703391676368e-02,-2.449999999999336320e-01,2.767930857091051688e+00
9.097500000000350084e+00,5.578486853773326857e+02,1.553645481121218630e+01,-1.364788494845660914e-02,-2.449999999999336320e-01,2.766043513966425671e+00
9.100000000000349587e+00,5.578875123975427641e+02,1.551158804981683481e+01,-1.411104952336830407e-02,-2.449999999999336320e-01,2.764086234133702469e+00
9.102500000000349090e+00,5.579262772516775613e+02,1.548672274763604584e+01,-1.457281248363553536e-02,-2.449999999999336320e-01,2.762059211377788870e+00
9.105000000000348592e+00,5.579649799433840371e+02,1.546185890273325469e+01,-1.503320828869136004e-02,-2.449999999999336320e-01,2.759962640133978962e+00
9.107500000000348095e+00,5.580036204763042633e+02,1.543699651317468557e+01,-1.549215931440950898e-02,-2.449999999999336320e-01,2.757796713868720495e+00
9.110000000000347598e+00,5.580421988540754228e+02,1.541213557702864101e+01,-1.594974921473077747e-02,-2.449999999999336320e-01,2.755561626287781340e+00
9.112500000000347100e+00,5.580807150803300374e+02,1.538727609236565819e+01,-1.640596090787144190e-02,-2.449999999999336320e-01,2.753257570011570898e+00
9.115000000000346603e+00,5.581191691586957404e+02,1.536241805725854803e+01,-1.686073240546107424e-02,-2.449999999999336320e-01,2.750884737756154941e+00
9.117500000000346105e+00,5.581575610927952766e+02,1.533756146978288015e+01,-1.731414159909984082e-02,-2.449999999999336320e-01,2.748443321417834539e+00
9.120000000000345608e+00,5.581958908862466160e+02,1.531270632801661513e+01,-1.776617469828003365e-02,-2.449999999999336320e-01,2.745933513037448037e+00
9.122500000000345111e+00,5.582341585426630672e+02,1.528785263004045269e+01,-1.821684506997909431e-02,-2.449999999999336320e-01,2.743355503928934347e+00
9.125000000000344613e+00,5.582723640656528232e+02,1.526300037393730946e+01,-1.866610948818885757e-02,-2.449999999999336320e-01,2.740709485176975324e+00
9.127500000000344116e+00,5.583105074588196430e+02,1.523814955779272040e+01,-1.911403027532441318e-02,-2.449999999999336320e-01,2.737995647576028979e+00
9.130000000000343618e+00,5.583485887257622835e+02,1.521330017969465764e+01,-1.956059051417027503e-02,-2.449999999999336320e-01,2.735214181226214958e+00
9.132500000000343121e+00,5.583866078700747266e+02,1.518845223773350739e+01,-2.000574819592863818e-02,-2.449999999999336320e-01,2.732365276246291330e+00
9.135000000000342624e+00,5.584245648953462933e+02,1.516360573000252820e+01,-2.044952341509512217e-02,-2.449999999999336320e-01,2.729449121988291260e+00
9.137500000000342126e+00,5.584624598051614157e+02,1.513876065459725773e+01,-2.089193661412691583e-02,-2.449999999999336320e-01,2.726465907779823450e+00
9.140000000000341629e+00,5.585002926030999788e+02,1.511391700961611662e+01,-2.133295350767214563e-02,-2.449999999999336320e-01,2.723415822474459347e+00
9.142500000000341132e+00,5.585380632927367515e+02,1.508907479315978328e+01,-2.177261734850357081e-02,-2.449999999999336320e-01,2.720299054689113927e+00
9.145000000000340634e+00,5.585757718776421825e+02,1.506423400333108198e+01,-2.221095312645179898e-02,-2.449999999999336320e-01,2.717115792257116524e+00
9.147500000000340137e+00,5.586134183613816049e+02,1.503939463823571643e+01,-2.264789717375688058e-02,-2.449999999999336320e-01,2.713866223091243590e+00
9.150000000000339639e+00,5.586510027475158040e+02,1.501455669598181508e+01,-2.308346036461643089e-02,-2.449999999999336320e-01,2.710550534452138560e+00
9.152500000000339142e+00,5.586885250396009042e+02,1.498972017468004303e+01,-2.351770532379809237e-02,-2.449999999999336320e-01,2.707168913279770717e+00
9.155000000000338645e+00,5.587259852411881411e+02,1.496488507244355404e+01,-2.395059094565487115e-02,-2.449999999999336320e-01,2.703721546035025458e+00
9.157500000000338147e+00,5.587633833558240894e+02,1.494005138738837246e+01,-2.438207923247260461e-02,-2.449999999999336320e-01,2.700208619080462391e+00
9.160000000000337650e+00,5.588007193870506626e+02,1.491521911763312325e+01,-2.481226790569938945e-02,-2.449999999999336320e-01,2.696630318039078045e+00
9.162500000000337153e+00,5.588379933384049991e+02,1.489038826129901416e+01,-2.524109065070325592e-02,-2.449999999999336320e-01,2.692986828561377166e+00
9.165000000000336655e+00,5.588752052134196902e+02,1.486555881650997080e+01,-2.566857186441932198e-02,-2.449999999999336320e-01,2.689278335665381992e+00
9.167500000000336158e+00,5.589123550156224383e+02,1.484073078139229729e+01,-2.609469804302788284e-02,-2.449999999999336320e-01,2.685505023980101047e+00
9.170000000000335660e+00,5.589494427485363985e+02,1.481590415407522165e+01,-2.651949471426592875e-02,0.000000000000000000e+00,2.681667078167368601e+00
9.172500000000335163e+00,5.589864684156799512e+02,1.479107893269017993e+01,-2.652459587389930165e-02,0.000000000000000000e+00,2.677779245036046696e+00
9.175000000000334666e+00,5.590234320205669292e+02,1.476625511537120872e+01,-2.652965702807888806e-02,0.000000000000000000e+00,2.673891269671103910e+00
9.177500000000334168e+00,5.590603335667065039e+02,1.474143270025522945e+01,-2.653475620678337130e-02,0.000000000000000000e+00,2.670003152019258863e+00
9.180000000000333671e+00,5.590971730576030723e+02,1.471661168548151899e+01,-2.653983079238395743e-02,0.000000000000000000e+00,2.666114891945305931e+00
9.182500000000333173e+00,5.591339504967563698e+02,1.469179206919184821e+01,-2.654486308825693835e-02,0.000000000000000000e+00,2.662226489084740688e+00
9.185000000000332676e+00,5.591706658876615847e+02,1.466697384953070404e+01,-2.654990607840541222e-02,0.000000000000000000e+00,2.658337943227018663e+00
9.187500000000332179e+00,5.592073192338092440e+02,1.464215702464558433e+01,-2.655490178054302139e-02,0.000000000000000000e+00,2.654449254302555072e+00
9.190000000000331681e+00,5.592439105386853271e+02,1.461734159268651645e+01,-2.655995638371797668e-02,0.000000000000000000e+00,2.650560422123219073e+00
9.192500000000331184e+00,5.592804398057709250e+02,1.459252755180596672e+01,-2.656496533080328348e-02,0.000000000000000000e+00,2.646671446414035067e+00
9.195000000000330687e+00,5.593169070385428086e+02,1.456771490015920101e+01,-2.656993257614724546e-02,0.000000000000000000e+00,2.642782327056878433e+00
9.197500000000330189e+00,5.593533122404729738e+02,1.454290363590414792e+01,-2.657493624667389698e-02,0.000000000000000000e+00,2.638893063874113931e+00
9.200000000000329692e+00,5.593896554150288694e+02,1.451809375720123718e+01,-2.657987522173448081e-02,0.000000000000000000e+00,2.635003656519461224e+00
9.202500000000329194e+00,5.594259365656733962e+02,1.449328526221386859e+01,-2.658478572590063441e-02,0.000000000000000000e+00,2.631114104813373711e+00
9.205000000000328697e+00,5.594621556958646806e+02,1.446847814910824326e+01,-2.658973107464986455e-02,0.000000000000000000e+00,2.627224408610250084e+00
9.207500000000328200e+00,5.594983128090564151e+02,1.444367241605307406e+01,-2.659466696878792780e-02,0.000000000000000000e+00,2.623334567674949103e+00
9.210000000000327702e+00,5.595344079086977445e+02,1.441886806121972953e+01,-2.659958735182775189e-02,0.000000000000000000e+00,2.619444581767861102e+00
9.212500000000327205e+00,5.595704409982331526e+02,1.439406508278237418e+01,-2.660451167211306742e-02,0.000000000000000000e+00,2.615554450581350387e+00
9.215000000000326708e+00,5.596064120811025759e+02,1.436926347891803601e+01,-2.660938047704044379e-02,0.000000000000000000e+00,2.611664173885068330e+00
9.217500000000326210e+00,5.596423211607415169e+02,1.434446324780654791e+01,-2.661430971922032832e-02,0.000000000000000000e+00,2.607773751321842415e+00
9.220000000000325713e+00,5.596781682405807032e+02,1.431966438763074834e+01,-2.661921149883178864e-02,0.000000000000000000e+00,2.603883182809503261e+00
9.222500000000325215e+00,5.597139533240465425e+02,1.429486689657607101e+01,-2.662403341782650784e-02,0.000000000000000000e+00,2.599992468347075647e+00
9.225000000000324718e+00,5.597496764145606676e+02,1.427007077283040104e+01,-2.662883227959311760e-02,0.000000000000000000e+00,2.596101607470965522e+00
9.227500000000324221e+00,5.597853375155405047e+02,1.424527601458428450e+01,-2.663365840529116971e-02,0.000000000000000000e+00,2.592210599842830199e+00
9.230000000000323723e+00,5.598209366303985917e+02,1.422048262003142405e+01,-2.663845815783321899e-02,0.000000000000000000e+00,2.588319445376849881e+00
9.232500000000323226e+00,5.598564737625432599e+02,1.419569058736826328e+01,-2.664322791421446304e-02,0.000000000000000000e+00,2.584428143670894240e+00
9.235000000000322729e+00,5.598919489153781797e+02,1.417089991479402933e+01,-2.664796336201610480e-02,0.000000000000000000e+00,2.580536694543334786e+00
9.237500000000322231e+00,5.599273620923025874e+02,1.414611060051081459e+01,-2.665274568727581117e-02,0.000000000000000000e+00,2.576645097740694279e+00
9.240000000000321734e+00,5.599627132967111720e+02,1.412132264272338311e+01,-2.665749072747205378e-02,0.000000000000000000e+00,2.572753352983340402e+00
9.242500000000321236e+00,5.599980025319940751e+02,1.409653603963939439e+01,-2.666225989529491525e-02,0.000000000000000000e+00,2.568861460185217105e+00
9.245000000000320739e+00,5.600332298015371180e+02,1.407175078946918134e+01,-2.666698033454726127e-02,0.000000000000000000e+00,2.564969419010720841e+00
9.247500000000320242e+00,5.600683951087215746e+02,1.404696689042562241e+01,-2.667168185924235352e-02,0.000000000000000000e+00,2.561077228904923508e+00
9.250000000000319744e+00,5.601034984569241715e+02,1.402218434072499242e+01,-2.667640081517380635e-02,0.000000000000000000e+00,2.557184889723129739e+00
9.252500000000319247e+00,5.601385398495173149e+02,1.399740313858657537e+01,-2.668107887042840687e-02,0.000000000000000000e+00,2.553292401044770621e+00
9.255000000000318749e+00,5.601735192898689775e+02,1.397262328223250627e+01,-2.668573398359304003e-02,0.000000000000000000e+00,2.549399762612219789e+00
9.257500000000318252e+00,5.602084367813424706e+02,1.394784476988797550e+01,-2.669036867025390350e-02,0.000000000000000000e+00,2.545506974399806666e+00
9.260000000000317755e+00,5.602432923272968992e+02,1.392306759978066033e+01,-2.669499926212079779e-02,0.000000000000000000e+00,2.541614035918883463e+00
