Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.997757635403516474e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999997794124711348e+00,-9.084026839670864342e-03,9.995515266065403637e+00,0.000000000000000000e+00
2.000000000000000042e-03,9.999986825640775123e+00,-1.675261158949141460e-02,9.993272835752360805e+00,0.000000000000000000e+00
3.000000000000000062e-03,9.999968510064690008e+00,-2.300542658809223012e-02,9.991030322950040343e+00,0.000000000000000000e+00
4.000000000000000083e-03,9.999944263177701131e+00,-2.784242120709976703e-02,9.988787734174364275e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.999915500811686897e+00,-3.126354481702897647e-02,9.986545097281741334e+00,0.000000000000000000e+00
6.000000000000000125e-03,9.999883638849151879e+00,-3.326874678782756889e-02,9.984302454778628544e+00,0.000000000000000000e+00
7.000000000000000146e-03,9.999850093223232150e+00,-3.385797648866163689e-02,9.982059857130444414e+00,0.000000000000000000e+00
8.000000000000000167e-03,9.999816279917695283e+00,-3.303118328718577384e-02,9.979817356069819567e+00,0.000000000000000000e+00
9.000000000000001055e-03,9.999783614966942125e+00,-3.078831654853500174e-02,9.977574997904193665e+00,0.000000000000000000e+00
1.000000000000000194e-02,9.999753514456008574e+00,-2.712932563427215837e-02,9.975332816822737314e+00,0.000000000000000000e+00
1.100000000000000283e-02,9.999727394520570911e+00,-2.205415990152440400e-02,9.973090828202591851e+00,0.000000000000000000e+00
1.200000000000000372e-02,9.999706671346947573e+00,-1.556276870254454450e-02,9.970849021914441224e+00,0.000000000000000000e+00
1.300000000000000461e-02,9.999692761172108035e+00,-7.655101384938366865e-03,9.968607355627399969e+00,0.000000000000000000e+00
1.400000000000000550e-02,9.999687080283672813e+00,1.668892707192823344e-03,9.966365748113263479e+00,0.000000000000000000e+00
1.500000000000000638e-02,9.999691045019920566e+00,1.240926423093622645e-02,9.964124072550109901e+00,0.000000000000000000e+00
1.600000000000000727e-02,9.999706071769784543e+00,2.456606384084786265e-02,9.961882149825347810e+00,0.000000000000000000e+00
1.700000000000000816e-02,9.999733576972850813e+00,3.813934218367849571e-02,9.959639741838241633e+00,0.000000000000000000e+00
1.800000000000000905e-02,9.999774977119351149e+00,5.312914989137418331e-02,9.957396544801998317e+00,0.000000000000000000e+00
1.900000000000000994e-02,9.999831688750141723e+00,6.953553757219084475e-02,9.955152182545552009e+00,0.000000000000000000e+00
2.000000000000001082e-02,9.999905128456678227e+00,8.735855579979658059e-02,9.952906199815164001e+00,0.000000000000000000e+00
2.100000000000001171e-02,9.999996712880980354e+00,1.065982551002615936e-01,9.950658055576001360e+00,0.000000000000000000e+00
2.200000000000001260e-02,1.000010785871557850e+01,1.272546859368681171e-01,9.948407116313884302e+00,0.000000000000000000e+00
2.300000000000001349e-02,1.000023998270344805e+01,1.493278986927069618e-01,9.946152649337467011e+00,0.000000000000000000e+00
2.400000000000001438e-02,1.000039450163792409e+01,1.728179436510633715e-01,9.943893816081036618e+00,0.000000000000000000e+00
2.500000000000001527e-02,1.000057283236259487e+01,1.977248709736328935e-01,9.941629680821185033e+00,0.000000000000000000e+00
2.600000000000001615e-02,1.000077639177117916e+01,2.240487306766481002e-01,9.939359213319455932e+00,0.000000000000000000e+00
2.700000000000001704e-02,1.000100659680737003e+01,2.517895726050370375e-01,9.937081229196726539e+00,0.000000000000000000e+00
2.800000000000001793e-02,1.000126486446466068e+01,2.809474464047760356e-01,9.934794413710974936e+00,0.000000000000000000e+00
2.900000000000001882e-02,1.000155261178613841e+01,3.115224014936396335e-01,9.932497310845917582e+00,0.000000000000000000e+00
3.000000000000001971e-02,1.000187125586424663e+01,3.435144870305892328e-01,9.930188319863976432e+00,0.000000000000000000e+00
3.100000000000002059e-02,1.000222221384052013e+01,3.769237518840797829e-01,9.927865688704946123e+00,0.000000000000000000e+00
3.200000000000002148e-02,1.000260690290529020e+01,4.117502445995966376e-01,9.925527507392656545e+00,0.000000000000000000e+00
3.300000000000002237e-02,1.000302674029734895e+01,4.479940133667639768e-01,9.923171701450746340e+00,0.000000000000000000e+00
3.400000000000002326e-02,1.000348314330359045e+01,4.856551059863907227e-01,9.920796025328115775e+00,0.000000000000000000e+00
3.500000000000002415e-02,1.000397752925861283e+01,5.247335698378365887e-01,9.918398055834886762e+00,0.000000000000000000e+00
3.600000000000002504e-02,1.000451131554428841e+01,5.652294518470915019e-01,9.915975314952332198e+00,0.000000000000000000e+00
3.700000000000002592e-02,1.000508591958930360e+01,6.071427984559649715e-01,9.913525109414967673e+00,0.000000000000000000e+00
3.800000000000002681e-02,1.000570275886867044e+01,6.504736555927745911e-01,9.911044477446321110e+00,0.000000000000000000e+00
3.900000000000002770e-02,1.000636325090320611e+01,6.952220686449100961e-01,9.908530254564956508e+00,0.000000000000000000e+00
4.000000000000002859e-02,1.000706881325898223e+01,7.413880824336246400e-01,9.905979077881141848e+00,0.000000000000000000e+00
4.100000000000002948e-02,1.000782086354676004e+01,7.889717411913751421e-01,9.903387596699902318e+00,0.000000000000000000e+00
4.200000000000003036e-02,1.000862081942139348e+01,8.379730885419928166e-01,9.900752114810289939e+00,0.000000000000000000e+00
4.300000000000003125e-02,1.000947009858121817e+01,8.883921674839208027e-01,9.898068660334292446e+00,0.000000000000000000e+00
4.400000000000003214e-02,1.001037011876741900e+01,9.402290203767023069e-01,9.895333181179692517e+00,0.000000000000000000e+00
