Time,Altitude,Velocity,Acceleration,Apogee,Predicted DP
2.592499999999989146e+00,6.616069570014958572e+02,3.938596491039709804e+02,-3.962521557947359696e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.594999999999989093e+00,6.625915498937637267e+02,3.937605961960993000e+02,-3.960882170882489817e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.597499999999989040e+00,6.635758951770166050e+02,3.936615841836051572e+02,-3.959250699520809746e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.599999999999988987e+00,6.645599929533807426e+02,3.935626128669356376e+02,-3.957627271403581659e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.602499999999988933e+00,6.655438433244815997e+02,3.934636820441241412e+02,-3.956011926124806877e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.604999999999988880e+00,6.665274463914390708e+02,3.933647915115511751e+02,-3.954404770035059613e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.607499999999988827e+00,6.675108022548628242e+02,3.932659410651804706e+02,-3.952805716615775822e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.609999999999988773e+00,6.684939110148534382e+02,3.931671305016663496e+02,-3.951214846854734475e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.612499999999988720e+00,6.694767727710014924e+02,3.930683596150721542e+02,-3.949632224078313669e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.614999999999988667e+00,6.704593876223833604e+02,3.929696281996935454e+02,-3.948057788533621704e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.617499999999988614e+00,6.714417556675604146e+02,3.928709360507535848e+02,-3.946491541458463104e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.619999999999988560e+00,6.724238770045824367e+02,3.927722829626230805e+02,-3.944933537192473239e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.622499999999988507e+00,6.734057517309848890e+02,3.926736687298249535e+02,-3.943383709492987066e+01,0.000000000000000000e+00,0.000000000000000000e+00
