0.4799998, 0, 0, 15.85059, 4.529256, 0, 476.2803, -1272.454, -5.798054, 0.01928791, 0.1567104, 27.89206, 2.92007, 2.680418, 106.8379
 
0.4899998, -0.01885763, 0, 16.11304, 4.540082, 0.87552458354407239000566, 497.648, -1272.519, -5.798054, 0.01928791, 0.1567104, 28.51119, 2.92007, 2.680266, 106.8676
 
0.4999998, -0.01923045, -0.0001885763, 16.3767, 4.551353, 0.85617662021742863181598, 519.55, -1272.583, -5.798054, 0.01928791, 0.1567104, 29.13218, 2.92007, 2.680114, 106.8973
 
0.5099998, -0.01960214, -0.0003808808, 16.63976, 4.561314, 0.8375728261134602323671179975, 541.9858, -1272.648, -5.798054, 0.01928791, 0.1567104, 29.75489, 2.92007, 2.679963, 106.927
 
0.5199998, -0.01997294, -0.0005769022, 16.90491, 4.572595, 0.8196726101836533215256420025, 564.9649, -1272.713, -5.798054, 0.01928791, 0.1567104, 30.37949, 2.92007, 2.679811, 106.9567
 
0.5299998, -0.02034254, -0.0007766315, 17.17039, 4.583443, 0.8024295982462484630361420025, 588.4905, -1272.777, -5.798054, 0.01928791, 0.1567104, 31.00594, 2.92007, 2.679659, 106.9864
 
0.5399998, -0.02071075, -0.0009800569, 17.43659, 4.594294, 0.78580701830299805134614, 612.5634, -1272.842, -5.798054, 0.01928791, 0.1567104, 31.63415, 2.92007, 2.679508, 107.0161
 
0.5499998, -0.02107771, -0.001187164, 17.70313, 4.604717, 0.7697720265216392717584379975, 637.191, -1272.907, -5.798054, 0.01928791, 0.1567104, 32.26422, 2.92007, 2.679356, 107.0458
 
0.5599998, -0.02144316, -0.001397941, 17.9713, 4.616016, 0.75428981498691582299098, 662.3779, -1272.972, -5.798054, 0.01928791, 0.1567104, 32.89614, 2.92007, 2.679204, 107.0754
 
0.5699998, -0.021807, -0.001612373, 18.24023, 4.627325, 0.73932928571811805091112, 688.1267, -1273.037, -5.798054, 0.01928791, 0.1567104, 33.52988, 2.92007, 2.679053, 107.1051
 
0.5799997, -0.02216906, -0.001830443, 18.50901, 4.637762, 0.72486283243762952862870, 714.4401, -1273.102, -5.798054, 0.01928791, 0.1567104, 34.16542, 2.92007, 2.678901, 107.1348
 
0.5899997, -0.02252935, -0.002052134, 18.77946, 4.649079, 0.71086415825649651736254, 741.3274, -1273.167, -5.798054, 0.01928791, 0.1567104, 34.80286, 2.92007, 2.678749, 107.1645
 
0.5999997, -0.02288758, -0.002277427, 19.05021, 4.659965, 0.6973063115914333886983620025, 768.7889, -1273.232, -5.798054, 0.01928791, 0.1567104, 35.44212, 2.92007, 2.678598, 107.1942
 
0.6099997, -0.02324372, -0.002506303, 19.32173, 4.670855, 0.6841686695710232641176, 796.8298, -1273.297, -5.798054, 0.01928791, 0.1567104, 36.08321, 2.92007, 2.678446, 107.2239
 
0.6199997, -0.02359765, -0.00273874, 19.59445, 4.682189, 0.6714294090509018297953820025, 825.4561, -1273.362, -5.798054, 0.01928791, 0.1567104, 36.72618, 2.92007, 2.678294, 107.2536
 
0.6299997, -0.02394921, -0.002974716, 19.86794, 4.693531, 0.65906692511815710065654, 854.6715, -1273.427, -5.798054, 0.01928791, 0.1567104, 37.37102, 2.92007, 2.678143, 107.2833
 
0.6399997, -0.02429818, -0.003214209, 20.14174, 4.704436, 0.6470628863315223547475620025, 884.4791, -1273.493, -5.798054, 0.01928791, 0.1567104, 38.0177, 2.92007, 2.677991, 107.313
 
