Time,Altitude,Velocity,Acceleration,Apogee,Predicted DP
1.994000000000103867e+01,5.394982405357362950e+03,1.369350395601423145e+02,-1.167091746988305623e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.994250000000103995e+01,5.395324726392576849e+03,1.369058627802944841e+02,-1.166999973930439261e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.994500000000104123e+01,5.395666974487144216e+03,1.368766882945707550e+02,-1.166908236604606053e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.994750000000104251e+01,5.396009149646798505e+03,1.368475161020794530e+02,-1.166816534819139939e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.995000000000104379e+01,5.396351251877273171e+03,1.368183462019283922e+02,-1.166724868946557514e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.995250000000104507e+01,5.396693281184298030e+03,1.367891785932233972e+02,-1.166633238602161171e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.995500000000104635e+01,5.397035237573601080e+03,1.367600132750743001e+02,-1.166541643953950746e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.995750000000104762e+01,5.397377121050909409e+03,1.367308502465881190e+02,-1.166450085068083276e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.996000000000104890e+01,5.397718931621945558e+03,1.367016895068749989e+02,-1.166358561590299736e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.996250000000105018e+01,5.398060669292431157e+03,1.366725310550451411e+02,-1.166267073843953916e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.996500000000105146e+01,5.398402334068085111e+03,1.366433748902080367e+02,-1.166175621637573734e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.996750000000105274e+01,5.398743925954624501e+03,1.366142210114740863e+02,-1.166084205112979788e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.997000000000105402e+01,5.399085444957764594e+03,1.365850694179511322e+02,-1.165992824167623532e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.997250000000105530e+01,5.399426891083217924e+03,1.365559201087476140e+02,-1.165901479042328681e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.997500000000105658e+01,5.399768264336694301e+03,1.365267730829689867e+02,-1.165810169610499614e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.997750000000105786e+01,5.400109564723901713e+03,1.364976283397226666e+02,-1.165718895846903891e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.998000000000105914e+01,5.400450792250546328e+03,1.364684858781200774e+02,-1.165627657516815674e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.998250000000106041e+01,5.400791946922331590e+03,1.364393456972772469e+02,-1.165536454452334247e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.998500000000106169e+01,5.401133028744959120e+03,1.364102077963095780e+02,-1.165445286911436185e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.998750000000106297e+01,5.401474037724127811e+03,1.363810721743274144e+02,-1.165354155039823958e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.999000000000106425e+01,5.401814973865534739e+03,1.363519388304428333e+02,-1.165263058453964184e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.999250000000106553e+01,5.402155837174875160e+03,1.363228077637745628e+02,-1.165171997085206179e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.999500000000106681e+01,5.402496627657840691e+03,1.362936789734406204e+02,-1.165080971115940045e+01,0.000000000000000000e+00,4.581279523927723196e-01
1.999750000000106809e+01,5.402837345320122040e+03,1.362645524585552721e+02,-1.164989980547634474e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.000000000000106937e+01,5.403177990167408097e+03,1.362354282182315046e+02,-1.164899025542122146e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.000250000000107065e+01,5.403518562205383205e+03,1.362063062515823901e+02,-1.164808105879168032e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.000500000000107192e+01,5.403859061439732614e+03,1.361771865577244114e+02,-1.164717221595575758e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.000750000000107320e+01,5.404199487876137027e+03,1.361480691357751880e+02,-1.164626372479392025e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.001000000000107448e+01,5.404539841520275331e+03,1.361189539848562617e+02,-1.164535558478339716e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.001250000000107576e+01,5.404880122377825501e+03,1.360898411040855933e+02,-1.164444779997641177e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.001500000000107704e+01,5.405220330454461873e+03,1.360607304925779317e+02,-1.164354036675783099e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.001750000000107832e+01,5.405560465755856967e+03,1.360316221494544493e+02,-1.164263328582961243e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.002000000000107960e+01,5.405900528287681482e+03,1.360025160738344709e+02,-1.164172655661336897e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.002250000000108088e+01,5.406240518055603388e+03,1.359734122648378332e+02,-1.164082018021434806e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.002500000000108216e+01,5.406580435065288839e+03,1.359443107215853388e+02,-1.163991415380649208e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.002750000000108344e+01,5.406920279322402166e+03,1.359152114431990412e+02,-1.163900847984745823e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.003000000000108471e+01,5.407260050832604975e+03,1.358861144287959348e+02,-1.163810315974387777e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.003250000000108599e+01,5.407599749601556141e+03,1.358570196774933265e+02,-1.163719819197853411e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.003500000000108727e+01,5.407939375634913631e+03,1.358279271884100581e+02,-1.163629357668309261e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.003750000000108855e+01,5.408278928938331774e+03,1.357988369606644312e+02,-1.163538931432827717e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.004000000000108983e+01,5.408618409517463988e+03,1.357697489933763393e+02,-1.163448540271783749e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.004250000000109111e+01,5.408957817377960964e+03,1.357406632856712179e+02,-1.163358183988485095e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.004500000000109239e+01,5.409297152525470665e+03,1.357115798366776858e+02,-1.163267862524237195e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.004750000000109367e+01,5.409636414965639233e+03,1.356824986455227418e+02,-1.163177576074964747e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.005000000000109495e+01,5.409975604704110992e+03,1.356534197113313382e+02,-1.163087324662587996e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.005250000000109623e+01,5.410314721746528448e+03,1.356243430332266087e+02,-1.162997108346397468e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.005500000000109750e+01,5.410653766098530468e+03,1.355952686103276505e+02,-1.162906927330740992e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.005750000000109878e+01,5.410992737765755010e+03,1.355661964417544709e+02,-1.162816781449343573e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.006000000000110006e+01,5.411331636753837302e+03,1.355371265266302032e+02,-1.162726670610746993e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.006250000000110134e+01,5.411670463068410754e+03,1.355080588640766734e+02,-1.162636594912976662e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.006500000000110262e+01,5.412009216715106049e+03,1.354789934532163613e+02,-1.162546554284915779e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.006750000000110390e+01,5.412347897699552050e+03,1.354499302931752993e+02,-1.162456548512904142e+01,0.000000000000000000e+00,4.581279523927723196e-01
2.007000000000110518e+01,5.412686506027374890e+03,1.354208693830813388e+02,-1.162366577650364974e+01,0.000000000000000000e+00,4.581279523927723196e-01
