Time,Altitude,Velocity,Acceleration,Apogee,Predicted DP
2.859750000000546777e+01,6.189295352091760833e+03,4.649465294512683045e+01,-9.953454695498994198e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.860000000000546905e+01,6.189411574597593244e+03,4.646976940918852250e+01,-9.953255452623384514e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.860250000000547033e+01,6.189527734894868445e+03,4.644488637129266806e+01,-9.953056322403401879e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.860500000000547161e+01,6.189643832984831533e+03,4.642000383115757955e+01,-9.952857304839026753e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.860750000000547288e+01,6.189759868868726699e+03,4.639512178850166890e+01,-9.952658399914433573e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.861000000000547416e+01,6.189875842547797220e+03,4.637024024304344039e+01,-9.952459607527721630e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.861250000000547544e+01,6.189991754023286376e+03,4.634535919450151908e+01,-9.952260927682345937e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.861500000000547672e+01,6.190107603296435627e+03,4.632047864259463665e+01,-9.952062360303642663e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.861750000000547800e+01,6.190223390368487344e+03,4.629559858704151054e+01,-9.951863905490681006e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.862000000000547928e+01,6.190339115240681167e+03,4.627071902756075872e+01,-9.951665563163084371e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.862250000000548056e+01,6.190454777914257647e+03,4.624583996387111995e+01,-9.951467333372173485e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.862500000000548184e+01,6.190570378390456426e+03,4.622096139569136852e+01,-9.951269216022655684e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.862750000000548312e+01,6.190685916670516235e+03,4.619608332274048479e+01,-9.951071211042336273e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.863000000000548440e+01,6.190801392755673987e+03,4.617120574473738515e+01,-9.950873318543964174e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.863250000000548567e+01,6.190916806647167505e+03,4.614632866140090783e+01,-9.950675538482585125e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.863500000000548695e+01,6.191032158346233700e+03,4.612145207245013268e+01,-9.950477870688711590e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.863750000000548823e+01,6.191147447854107668e+03,4.609657597760428160e+01,-9.950280315240116025e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.864000000000548951e+01,6.191262675172025411e+03,4.607170037658254103e+01,-9.950082872123726219e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.864250000000549079e+01,6.191377840301220203e+03,4.604682526910409024e+01,-9.949885541295943270e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.864500000000549207e+01,6.191492943242926231e+03,4.602195065488825776e+01,-9.949688322706951027e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.864750000000549335e+01,6.191607983998376767e+03,4.599707653365447158e+01,-9.949491216327945864e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.865000000000549463e+01,6.191722962568804178e+03,4.597220290512219520e+01,-9.949294222146898292e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.865250000000549591e+01,6.191837878955439919e+03,4.594732976901109822e+01,-9.949097340020466973e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.865500000000549718e+01,6.191952733159514537e+03,4.592245712504098520e+01,-9.948900570002550126e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.865750000000549846e+01,6.192067525182258578e+03,4.589758497293157546e+01,-9.948703912095441027e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.866000000000549974e+01,6.192182255024901679e+03,4.587271331240258831e+01,-9.948507366272046681e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.866250000000550102e+01,6.192296922688671657e+03,4.584784214317377149e+01,-9.948310932564851328e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.866500000000550230e+01,6.192411528174797240e+03,4.582297146496500773e+01,-9.948114610812234915e+00,0.000000000000000000e+00,2.311043371131999424e-01
2.866750000000550358e+01,6.192526071484506247e+03,4.579810127749634319e+01,-9.947918401079233419e+00,0.000000000000000000e+00,2.311043371131999424e-01
