positionX,positionY,positionZ,positionW,position,positionPrint,worldPos,velocityX,velocityY,velocityZ,velocityW,velocity,velocityPrint,orientRotAxisX,orientRotAxisY,orientRotAxisZ,orientRotAxis,orientAngle,orient,orientPrint,rotVelX,rotVelY,rotVelZ,rotVel,liftoff,apogee,motorIgn,lnchRdClr,finCantAngleDeg,time
0.0,0.0,10.0,12500.0,"(0.00000,0.00000,10.00000,w=12500.00000)","x: 0.0, y: 0.0, z: 10.0, w: 12500.0","WorldCoordinate[lat=28.610000000000003, lon=-80.6, alt=100.125]",0.0,0.0,100.0,0.0,"(0.00000,0.00000,100.00000)","x: 0.0, y: 0.0, z: 100.0, w: 0.0",0.0,0.0,1.0,"(0.00000,0.00000,1.00000)",0.0,"Quaternion[1.000000,0.000000,0.000000,0.000000,norm=1.000000]","Axis: [1.0, 0.0, 0.0], Angle: 0.0",0.0,0.0,0.0,"(0.00000,0.00000,0.00000)",True,False,True,True,True,0.0025
-5.2942179339195386e-05,-1.576504393533362e-11,10.249873451407648,,"(-0.00005,-0.00000,10.24987,w=12500.00000)","x: -5.2942179339195386E-5, y: -1.576504393533362E-11, z: 10.249873451407648, w: 12500.0","WorldCoordinate[lat=28.610000000000003, lon=-80.60000000054234, alt=10.249873451407648]",-0.04221300251904912,-9.36635698671347e-09,99.89881899045288,,"(-0.04221,-0.00000,99.89882)","x: -0.04221300251904912, y: -9.36635698671347E-9, z: 99.89881899045288, w: 0.0",1.0,0.0,0.0,"(1.00000,0.00000,0.00000)",4.8807251638041854e-05,"Quaternion[1.000000,0.000000,0.000024,0.000000,norm=1.000000]","Axis: [1.0, 0.0, 0.0], Angle: 4.8807251638041854E-5",-4.236040291791903e-06,0.03892146103986089,3.4091191273533666e-10,"(-0.00000,0.03892,0.00000)",True,False,True,True,0.0,0.005
-0.00021004921736779707,-5.935671822741565e-11,10.49949417318119,,"(-0.00021,-0.00000,10.49949,w=12500.00000)","x: -2.1004921736779707E-4, y: -5.935671822741565E-11, z: 10.49949417318119, w: 12500.0","WorldCoordinate[lat=28.610000000000003, lon=-80.60000000215175, alt=10.49949417318119]",-0.08330383688726642,-1.5172211907337964e-08,99.7978172012235,,"(-0.08330,-0.00000,99.79782)","x: -0.08330383688726642, y: -1.5172211907337964E-8, z: 99.7978172012235, w: 0.0",1.0,0.0,0.0,"(1.00000,0.00000,0.00000)",0.00019371940771455284,"Quaternion[1.000000,-0.000000,0.000097,0.000000,norm=1.000000]","Axis: [1.0, 0.0, 0.0], Angle: 1.9371940771455284E-4",-7.794104393159512e-06,0.0768606845416918,6.4265359617272e-10,"(-0.00001,0.07686,0.00000)",True,False,True,True,0.0,0.0075
-0.0004683100881361809,-8.0433681471179e-11,10.748862620594945,,"(-0.00047,-0.00000,10.74886,w=12500.00000)","x: -4.683100881361809E-4, y: -8.0433681471179E-11, z: 10.748862620594945, w: 12500.0","WorldCoordinate[lat=28.610000000000003, lon=-80.60000000479737, alt=10.748862620594945]",-0.12310977408084134,3.1877568081970724e-09,99.69700027345196,,"(-0.12311,0.00000,99.69700)","x: -0.12310977408084134, y: 3.1877568081970724E-9, z: 99.69700027345196, w: 0.0",1.0,0.0,0.0,"(1.00000,0.00000,0.00000)",0.00043208003206268237,"Quaternion[1.000000,-0.000000,0.000216,0.000000,norm=1.000000]","Axis: [1.0, 0.0, 0.0], Angle: 4.3208003206268237E-4",-1.2944592626903324e-05,0.11364880336777591,1.8535481189499428e-09,"(-0.00001,0.11365,0.00000)",True,False,True,True,0.0,0.01
-0.0008243204389151018,-2.7809984483073577e-12,10.99797926104687,,"(-0.00082,-0.00000,10.99798,w=12500.00000)","x: -8.243204389151018E-4, y: -2.7809984483073577E-12, z: 10.99797926104687, w: 12500.0","WorldCoordinate[lat=28.610000000000003, lon=-80.60000000844434, alt=10.99797926104687]",-0.1614789420982557,7.409949218862489e-08,99.59637224903324,,"(-0.16148,0.00000,99.59637)","x: -0.1614789420982557, y: 7.409949218862489E-8, z: 99.59637224903324, w: 0.0",1.0,0.0,0.0,"(1.00000,0.00000,0.00000)",0.0007608137316211832,"Quaternion[1.000000,-0.000000,0.000380,0.000000,norm=1.000000]","Axis: [1.0, 0.0, 0.0], Angle: 7.608137316211832E-4",-2.0195252159326635e-05,0.14913925155259797,4.861525021007954e-09,"(-0.00002,0.14914,0.00000)",True,False,True,True,0.0,0.0125
-0.0012743102960398626,3.577968387581924e-10,11.246844570814378,,"(-0.00127,0.00000,11.24684,w=12500.00000)","x: -0.0012743102960398626, y: 3.577968387581924E-10, z: 11.246844570814378, w: 12500.0","WorldCoordinate[lat=28.610000000000003, lon=-80.60000001305407, alt=11.246844570814378]",-0.19827083942218549,2.2347642890108413e-07,99.49593617543867,,"(-0.19827,0.00000,99.49594)","x: -0.19827083942218549, y: 2.2347642890108413E-7, z: 99.49593617543867, w: 0.0",1.0,0.0,0.0,"(1.00000,0.00000,0.00000)",0.0011765053187193517,"Quaternion[1.000000,-0.000000,0.000588,0.000000,norm=1.000000]","Axis: [1.0, 0.0, 0.0], Angle: 0.0011765053187193517",-9.862283517356944e-06,0.18319537043534165,-9.490872657982637e-09,"(-0.00001,0.18320,-0.00000)",True,False,True,True,0.0,0.015000000000000001
-0.001814173003180706,1.1629790818259498e-09,11.495459032486108,,"(-0.00181,0.00000,11.49546,w=12500.00000)","x: -0.001814173003180706, y: 1.1629790818259498E-9, z: 11.495459032486108, w: 12500.0","WorldCoordinate[lat=28.61000000000001, lon=-80.60000001858441, alt=11.495459032486108]",-0.23335665563896074,4.318189853502159e-07,99.39569404671529,,"(-0.23336,0.00000,99.39569)","x: -0.23335665563896074, y: 4.318189853502159E-7, z: 99.39569404671529, w: 0.0",1.0,0.0,0.0,"(1.00000,0.00000,0.00000)",0.0016754008934420806,"Quaternion[1.000000,-0.000000,0.000838,0.000000,norm=1.000000]","Axis: [1.0, 0.0, 0.0], Angle: 0.0016754008934420806",-2.0232232226206183e-05,0.21567428815168305,4.10252175502402e-10,"(-0.00002,0.21567,0.00000)",True,False,True,True,0.0,0.0175
-0.002439494925769164,2.6060516723447525e-09,11.743823132276926,,"(-0.00244,0.00000,11.74382,w=12500.00000)","x: -0.002439494925769164, y: 2.6060516723447525E-9, z: 11.743823132276926, w: 12500.0","WorldCoordinate[lat=28.610000000000024, lon=-80.60000002499022, alt=11.743823132276926]",-0.2666196870948827,7.375373743717321e-07,99.29564676521524,,"(-0.26662,0.00000,99.29565)","x: -0.2666196870948827, y: 7.375373743717321E-7, z: 99.29564676521524, w: 0.0",-9.118827395215634e-05,0.999999995822722,-1.5758634546426492e-09,"(-0.00009,1.00000,-0.00000)",0.002253364082445539,"Quaternion[0.999999,-0.000000,0.001127,-0.000000,norm=1.000000]","Axis: [-9.118827395215634E-5, 0.999999995822722, -1.5758634546426492E-9], Angle: 0.002253364082445539",-1.539965791485401e-05,0.24643519993298882,-1.6306849775486354e-08,"(-0.00002,0.24644,-0.00000)",True,False,True,True,0.0,0.02
-0.0031455861192790633,4.909385214221496e-09,11.991937357279262,,"(-0.00315,0.00000,11.99194,w=12500.00000)","x: -0.0031455861192790633, y: 4.909385214221496E-9, z: 11.991937357279262, w: 12500.0","WorldCoordinate[lat=28.610000000000046, lon=-80.60000003222343, alt=11.991937357279262]",-0.29795559993560006,1.1131126304252557e-06,99.19579413151715,,"(-0.29796,0.00000,99.19579)","x: -0.29795559993560006, y: 1.1131126304252557E-6, z: 99.19579413151715, w: 0.0",-8.722407070140345e-05,0.9999999961587372,-5.9757123622444735e-09,"(-0.00009,1.00000,-0.00000)",0.0029060131615942014,"Quaternion[0.999999,-0.000000,0.001453,-0.000000,norm=1.000000]","Axis: [-8.722407070140345E-5, 0.9999999961587372, -5.9757123622444735E-9], Angle: 0.0029060131615942014",-1.9961171611061642e-05,0.2753992553918098,-1.2079566034988645e-08,"(-0.00002,0.27540,-0.00000)",True,False,True,True,0.0,0.0225
-0.003927511345126497,8.249243695342144e-09,12.23980219272614,,"(-0.00393,0.00000,12.23980,w=12500.00000)","x: -0.003927511345126497, y: 8.249243695342144E-9, z: 12.23980219272614, w: 12500.0","WorldCoordinate[lat=28.610000000000074, lon=-80.6000000402335, alt=12.23980219272614]",-0.3272725262784083,1.5795455998992248e-06,99.0961348614112,,"(-0.32727,0.00000,99.09613)","x: -0.3272725262784083, y: 1.5795455998992248E-6, z: 99.0961348614112, w: 0.0",-8.696514157062281e-05,0.9999999962058069,-4.277472630527307e-09,"(-0.00009,1.00000,-0.00000)",0.0036287063484614756,"Quaternion[0.999998,-0.000000,0.001814,-0.000000,norm=1.000000]","Axis: [-8.696514157062281E-5, 0.9999999962058069, -4.277472630527307E-9], Angle: 0.0036287063484614756",-3.1973936259401754e-05,0.30246303767106186,2.02658296885915e-08,"(-0.00003,0.30246,0.00000)",True,False,True,True,0.0,0.024999999999999998
